CR;CRPercent;energyJoule;duration;energyJouleStd;durationStd
1.0;0.0;0.14859903981274167;1.2915826000000001;0.0007587285347797659;0.0007978360647444465
2.0;0.5;0.1462792868856847;1.2894633333333334;0.0006663765811587253;0.0003177994741139888
3.0;0.6666666666666667;0.14407205155364763;1.289302733333333;0.001219878472743458;0.00045910722459809397
4.0;0.75;0.1457294738219249;1.2896025999999996;0.0015653953832442341;0.0007527518526872746
8.0;0.875;0.14686705946443712;1.2967268000000005;0.0013768445979197427;0.0028305100600421853
16.0;0.9375;0.1473396093893151;1.3009938666666665;0.0014817842356324338;0.0032798252658811835
24.0;0.9583333333333334;0.14748731901851805;1.3031536000000001;0.0009449404885314304;0.002559141041241274
32.0;0.96875;0.14906066964715145;1.3039186666666664;0.0019247190054328817;0.002522144754156576
48.0;0.9791666666666666;0.15194422722594408;1.3076531333333332;0.0007187241556689342;0.0013249851198470382
64.0;0.984375;0.15384139456163887;1.3087462000000003;0.0014876989531662794;0.0014372320475903408
