;CRPercent;energyJoule;duration;loss;accuracy
CRPercent;1.0;0.29870868242030746;0.6970092552375842;0.578788739189186;-0.5989391184393171
energyJoule;0.29870868242030746;1.0;0.8250659461454322;0.9048590253311695;-0.8689836565528245
duration;0.6970092552375842;0.8250659461454322;1.0;0.8814259136266416;-0.8754945659128784
loss;0.578788739189186;0.9048590253311695;0.8814259136266416;1.0;-0.9924906113198119
accuracy;-0.5989391184393171;-0.8689836565528245;-0.8754945659128784;-0.9924906113198119;1.0
