;CRPercent;energyJoule;duration;loss;accuracy
CRPercent;1.0;-0.999174482602937;-0.9999705508772724;0.578788739189186;-0.5989391184393171
energyJoule;-0.999174482602937;1.0;0.9990475673176011;-0.593078318610162;0.613328789076874
duration;-0.9999705508772724;0.9990475673176011;1.0;-0.5771870245627971;0.5972660902257642
loss;0.578788739189186;-0.593078318610162;-0.5771870245627971;1.0;-0.9924906113198119
accuracy;-0.5989391184393171;0.613328789076874;0.5972660902257642;-0.9924906113198119;1.0
