CR;CRPercent;energyJoule;duration;energyJouleStd;durationStd
1.0;0.0;0.1412214777398932;1.3134998666666668;0.001963648509817225;0.0008280622887337832
2.0;0.5;0.10664310173489629;0.9353007999999998;0.0010165702184360861;0.0002561764478124194
3.0;0.6666666666666667;0.09389962845217628;0.8084036666666666;0.000931854706638602;0.00010808691691965508
4.0;0.75;0.08765953036167988;0.7450931333333333;0.001142372226641005;0.0001142685081464888
8.0;0.875;0.07647189174585067;0.6519040666666667;0.0008561247000606066;0.00024297778149215055
16.0;0.9375;0.07307213997777924;0.6042888000000001;0.0007107426944963566;0.00013880633991283787
24.0;0.9583333333333334;0.0703588494411698;0.5886586666666667;0.000780761050606015;0.00011322523580453131
32.0;0.96875;0.06916051218289937;0.579959;0.0007996274803378993;6.937305449275811e-05
48.0;0.9791666666666666;0.06939309151816937;0.5721502666666666;0.0005275762251544825;6.706401128174388e-05
64.0;0.984375;0.06842563209966747;0.5686981999999999;0.0005255017701214336;8.053673396184836e-05
