CR;CRPercent;loss;accuracy;size;parameters;channels_conv1;channels_conv2;channels_dense1;channels_dense2;channels_dense3;energyJoule;duration;energyJouleStd;durationStd
0.0;0.0;0.3266866207122803;0.8937000036239624;446468;110742;12;32;120;84;10;0.1485990398127416;1.2915826;0.0007587285347797;0.0007978360647444
2.0;0.5;0.3429083526134491;0.8878999948501587;446508;110742;12;32;120;84;10;0.1462792868856847;1.2894633333333334;0.0006663765811587;0.0003177994741139
3.0;0.66;0.3318140208721161;0.8848000168800354;446508;110742;12;32;120;84;10;0.1440720515536476;1.289302733333333;0.0012198784727434;0.000459107224598
4.0;0.75;0.3451225459575653;0.8779000043869019;446508;110742;12;32;120;84;10;0.1457294738219249;1.2896025999999996;0.0015653953832442;0.0007527518526872
8.0;0.875;0.4504634141921997;0.8421000242233276;446508;110742;12;32;120;84;10;0.1468670594644371;1.2967268000000003;0.0013768445979197;0.0028305100600421
16.0;0.9375;0.6300343871116638;0.7609999775886536;446508;110742;12;32;120;84;10;0.1473396093893151;1.3009938666666665;0.0014817842356324;0.0032798252658811
24.0;0.9583333333333334;0.7002102732658386;0.7430999875068665;446508;110742;12;32;120;84;10;0.147487319018518;1.3031536;0.0009449404885314;0.0025591410412412
32.0;0.96875;0.8336520791053772;0.7156000137329102;446508;110742;12;32;120;84;10;0.1490606696471514;1.3039186666666664;0.0019247190054328;0.0025221447541565
48.0;0.9791666666666666;1.0612801313400269;0.6811000108718872;446508;110742;12;32;120;84;10;0.151944227225944;1.3076531333333332;0.0007187241556689;0.001324985119847
64.0;0.984375;1.6582385301589966;0.4289999902248382;446508;110742;12;32;120;84;10;0.1538413945616388;1.3087462000000003;0.0014876989531662;0.0014372320475903
