CR;CRPercent;energyJoule;duration;energyJouleStd;durationStd
1.0;0.0;0.14859903981274167;1.2915826000000001;0.0007587285347797659;0.0007978360647444465
2.0;0.5;0.08065479237619931;0.7130107333333332;0.0009019823909564337;0.00025947824748818115
3.0;0.6666666666666667;0.07208352287112407;0.6085825999999999;0.0008355692263231656;0.00024806292305199444
4.0;0.75;0.06092871970755538;0.5175928666666667;0.0005238516141437907;0.00023052365176483088
8.0;0.875;0.04288140335035173;0.3606255333333333;0.00015419279377685053;0.00013258146053713685
16.0;0.9375;0.028350264870846624;0.24684406666666664;0.00018439436594130267;0.00012526218939470533
24.0;0.9583333333333334;0.01570750347778462;0.13173639999999998;0.00014529230337892245;7.197777434737801e-05
32.0;0.96875;0.015215989660989948;0.1314553333333333;0.00014691128786561682;7.551630713744682e-05
48.0;0.9791666666666666;0.008559325219512913;0.07326999999999999;6.118946981054539e-05;7.596914074035359e-05
64.0;0.984375;0.0035490254400739113;0.027982599999999972;1.3364204999328422e-05;2.0417369211458554e-05
