;CRPercent;energyJoule;duration;loss;accuracy
CRPercent;1.0;-0.9795227325364108;-0.9822319394682216;0.811236371759387;-0.8455350546897408
energyJoule;-0.9795227325364108;1.0;0.9997678577155533;-0.9015161550832416;0.9269114789185793
duration;-0.9822319394682216;0.9997678577155533;1.0;-0.8971596431287551;0.9235850994428753
loss;0.811236371759387;-0.9015161550832416;-0.8971596431287551;1.0;-0.9935700571497467
accuracy;-0.8455350546897408;0.9269114789185793;0.9235850994428753;-0.9935700571497467;1.0
